Role,Component,Gain/Loss (dBm),Noise Figure (dBm),Phase noise (dBc/Hz),Input power (dBm),Output power (dBm),O1dB (dBm),OIP3 (dBm),I1dB(dBm),IIP3 (dBm),lo_hz,comment
SPST switch,MA4AGSW1,-0.3,,,,,,,,,
WR-42 to SMA,WR-42 to SMA,-0.03,,,,,,,,,
Filter 1,FMFL1010,-0.7,0.7,,,,,,,,
LNA 1,ADL8142S,29,1.8,,,,8.5,17.5,,,
Filter 2,FMFL1010,-0.7,0.7,,,,,,,,
Mixer 1,CMD179C3,-6.5,6.5,,needs 13dBm,,10,17,,,19.9995e9,
LO 1,HMC466LP4E,,,-110,,outputs 1.5 - 4.5 dB,,,,,
LO 1 AMP ,AVA-223MP+,14.8,3.7,,,,25,35,,,
LO 1 Frequency Multiplier,CY3-223+,,,,needs 12dBm,,,,,,
filter 3,SXBP-1430+,-0.6,0.6,,,,,,,,
LNA 2,SAV-541-DG+,23.7,0.27,,,,18.5,27.8,,,
Mixer 2,SYM-25DHW+,-6.5,,,needs 17-19dB,,,,14,30,
LO 2,JTOS-850VW+,9,,-116,,outputs 7.5dBm,,,,,
LO 2 AMP,PMA5-83-2W+,12,3.7,,,,30,44,,,
filter 4,BFTC-500+,-3,,,,,,,,,
LNA 3,ZHL-20W-13SWX+,50,3.5,,,,41,43,,,
,Viasat 13.5m,67.2,,,,,,,,,
,,,,,,,,,,,
